legacy_account_name,detected_vendor_name,proposed_target_account,proposed_entity_id,proposed_entity_name,line_count,total_debit,total_credit,net_amount,review_status,reviewer_notes
"الموردين - العالمية للفواكة","العالمية للفواكة","Accounts Payable","24f4f544-26cb-462e-9330-62faafd890be","العالمية للفواكة",10,0.00,980.00,980.00,"Pending",""
"الموردين - الوادي للدواجن","الوادي للدواجن","Accounts Payable","c2679754-9189-4410-a371-37145cc3e7a8","الوادي للدواجن",4,0.00,1982.40,1982.40,"Pending",""
"الموردين - موسسة منارة البلاد","موسسة منارة البلاد","Accounts Payable","8c6aaa77-29e4-452b-bc1e-630ed27f4adc","موسسة منارة البلاد",2,0.00,60.00,60.00,"Pending",""
"الموردين - sfaqat","sfaqat","Accounts Payable","547d7386-fa95-43a0-9b8d-3af852f6e11e","sfaqat",16,0.00,20300.88,20300.88,"Pending",""
"الموردين - اسواق الحمود المركزية","اسواق الحمود المركزية","Accounts Payable","e7f0b9fa-1226-42f9-86d2-87148988c93e","اسواق الحمود المركزية",2,0.00,419.14,419.14,"Pending",""
"الموردين - othaim","othaim","Accounts Payable","0b1ec3ed-ce83-4edc-bbf9-b8dc2175815f","othaim",64,0.00,21425.62,21425.62,"Pending",""
"الموردين - المعيذر","المعيذر","Accounts Payable","f336b222-58b4-4f46-bd5f-1f50b38ea12d","المعيذر",6,0.00,2289.56,2289.56,"Pending",""
"الموردين - صدقة المحل","صدقة المحل","Accounts Payable","272bc1b7-a21b-4fa1-bc64-22b8564bdf4d","صدقة المحل",2,0.00,3000.00,3000.00,"Pending",""
"الموردين - SLAM INTERNET","SLAM INTERNET","Accounts Payable","ee843b2c-42f3-4dbc-a65d-20f8153d75ed","SLAM INTERNET",2,0.00,2994.00,2994.00,"Pending",""
"الموردين - شركة الكيف الشرقي للتجاره","شركة الكيف الشرقي للتجاره","Accounts Payable","0af0115f-c3fe-44ce-b511-77e4acf83834","شركة الكيف الشرقي للتجاره",4,0.00,468.44,468.44,"Pending",""
"الموردين - al wadi","al wadi","Accounts Payable","12c93b6d-dddd-4672-b079-0ea68758c2fe","al wadi",4,0.00,3305.92,3305.92,"Pending",""
"الموردين - nada","nada","Accounts Payable","1d8e44d1-3a9e-41b6-b164-d764431ed942","nada",6,0.00,1242.00,1242.00,"Pending",""
"الموردين - danub","danub","Accounts Payable","3ac2ef2a-967a-4df8-8706-646b680328bc","danub",34,0.00,9244.76,9244.76,"Pending",""
"الموردين - قصر البلاستيك","قصر البلاستيك","Accounts Payable","c09c1334-1bdc-44d6-9814-980dbf4f9a33","قصر البلاستيك",24,0.00,3033.84,3033.84,"Pending",""
"الموردين - CDC","CDC","Accounts Payable","0a925e4d-653c-469d-8637-365d499ca81b","CDC",18,0.00,8560.00,8560.00,"Pending",""
"الموردين - GULF CENTRAL","GULF CENTRAL","Accounts Payable","8c46580b-7732-4ed5-94f7-e653017220f3","GULF CENTRAL",14,0.00,28555.65,28555.65,"Pending",""
"الموردين - فهد المعيذر","فهد المعيذر","Accounts Payable","20b7b495-de63-4bbe-9d5f-c2e0459373e2","فهد المعيذر",24,0.00,13527.40,13527.40,"Pending",""
"الموردين - NADA","NADA","Accounts Payable","a46abf9f-ffd5-4bab-bb86-ba909cc4d7f4","NADA",22,0.00,6190.00,6190.00,"Pending",""
"الموردين - TAXI","TAXI","Accounts Payable","ae7a2589-09da-44d2-baf5-cdd091c456f9","TAXI",2,0.00,2000.00,2000.00,"Pending",""
"الموردين - مطبعة بصر","مطبعة بصر","Accounts Payable","6d40a11f-3a9b-4f6e-8efc-4e30e9f7ec41","مطبعة بصر",4,0.00,1817.38,1817.38,"Pending",""
"الموردين - شركة المهندسين المحترفين","شركة المهندسين المحترفين","Accounts Payable","54f21422-4178-4b0f-b234-f46953fe68df","شركة المهندسين المحترفين",2,0.00,2400.00,2400.00,"Pending",""
