raw_entity_id,raw_entity_name,proposed_normalized_entity_id,proposed_normalized_entity_name,confidence,source_count,total_amount,sample_source_files,sample_invoice_numbers,review_status,reviewer_notes
"24f4f544-26cb-462e-9330-62faafd890be","العالمية للفواكة","24f4f544-26cb-462e-9330-62faafd890be","العالمية للفواكة","Medium",5,490.00,"ca01d59e-caa5-4762-90c4-bd5ce23525c5;28d7024d-3987-4928-a347-63d13667419b","292;281","Pending",""
"92469e24-f287-49e8-b481-9f51747e7f7f","العالمية للفواكة","24f4f544-26cb-462e-9330-62faafd890be","العالمية للفواكة","Medium",5,490.00,"57f514ce-072c-4244-b302-77ac7455b843;02a044ab-dab7-48ed-b3d9-a79a89a3815d","292;281","Pending",""
"c2679754-9189-4410-a371-37145cc3e7a8","الوادي للدواجن","c2679754-9189-4410-a371-37145cc3e7a8","الوادي للدواجن","Medium",2,991.20,"1c77afb4-e1ca-4018-9c96-08a610768738;eb1ea75f-fc62-45f1-a0ad-aedc013dba0a","2517;2573","Pending",""
"46c0b6c5-9c25-4a6f-b0cc-9e6b1bf74969","الوادي للدواجن","c2679754-9189-4410-a371-37145cc3e7a8","الوادي للدواجن","Medium",2,991.20,"09d74f74-9a8d-408d-b5cd-15f26277414c;1ff951fa-e334-4a0a-9978-bd17ca658418","2517;2573","Pending",""
"8c6aaa77-29e4-452b-bc1e-630ed27f4adc","موسسة منارة البلاد","8c6aaa77-29e4-452b-bc1e-630ed27f4adc","موسسة منارة البلاد","Medium",1,30.00,"a30a4726-6b37-482f-b6f5-0a7905995eea","5943","Pending",""
"368b9859-5287-4532-970f-3407897e6f3b","موسسة منارة البلاد","8c6aaa77-29e4-452b-bc1e-630ed27f4adc","موسسة منارة البلاد","Medium",1,30.00,"7fc869c5-219d-483e-9d35-00528ff3a4ce","5943","Pending",""
"547d7386-fa95-43a0-9b8d-3af852f6e11e","sfaqat","547d7386-fa95-43a0-9b8d-3af852f6e11e","sfaqat","Medium",8,10150.44,"aefbc79f-a978-4083-ad01-74b6cf935e82;6aa6ceff-5f01-49ce-abee-3414851ac0eb","25005000310;250051","Pending",""
"99c5f18a-a9dc-457d-bc7a-af661029b855","SFAQAT","547d7386-fa95-43a0-9b8d-3af852f6e11e","sfaqat","Medium",4,4718.47,"159f74a6-8a2f-4145-a09d-08d3273593cb;2ffb0ddf-9261-4f46-a35a-efc85b64663b","25007;250010","Pending",""
"33ae459b-0360-4867-8e18-2e4a44c31c30","sfaqat","547d7386-fa95-43a0-9b8d-3af852f6e11e","sfaqat","Medium",8,10150.44,"e9d40bd2-a350-4a08-8da8-f49768af86d8;414a920f-7bf8-43d5-9074-b41aabf23430","25005000310;250051","Pending",""
"d13763fa-7e61-4b60-bd2a-ba7e97eb72d3","SFAQAT","547d7386-fa95-43a0-9b8d-3af852f6e11e","sfaqat","Medium",2,4537.61,"ac6e34d6-aeaf-4bb9-a5fa-fae4a6a02a11;e46a0716-feed-472d-a674-35e3c68ad426","25009;250050050774","Pending",""
