account_name,legacy_debit,legacy_credit,normalized_debit,normalized_credit,debit_difference,credit_difference,net_difference,explanation,blocker_status
"تكلفة المبيعات - مواد خام ومكونات",262905.09869565215,0,262905.12999999995,0,0.031304347794502974,0,0.031304347794502974,"Rounding","No"
"الموردين - العالمية للفواكة",0,980,0,0,0,-980,980,"Collapsed to AP","No"
"الموردين - الوادي للدواجن",0,1982.4,0,0,0,-1982.4,1982.4,"Collapsed to AP","No"
"مصروفات عمومية وإدارية - أخرى",18579.190000000002,0,18579.190000000002,0,0,0,0,"Rounding","No"
"الموردين - موسسة منارة البلاد",0,60,0,0,0,-60,60,"Collapsed to AP","No"
"تكلفة المبيعات - مواد تعبئة وتغليف",94574.8,0,94574.8,0,0,0,0,"Rounding","No"
"الموردين - sfaqat",0,20300.88,0,0,0,-20300.88,20300.88,"Collapsed to AP","No"
"الموردين - اسواق الحمود المركزية",0,419.14,0,0,0,-419.14,419.14,"Collapsed to AP","No"
"الموردين - othaim",0,21425.62086956522,0,0,0,-21425.62086956522,21425.62086956522,"Collapsed to AP","No"
"الموردين - المعيذر",0,2289.56,0,0,0,-2289.56,2289.56,"Collapsed to AP","No"
"مصروفات أخرى - تبرعات ومساهمات مجتمعية",3000,0,3000,0,0,0,0,"Rounding","No"
"الموردين - صدقة المحل",0,3000,0,0,0,-3000,3000,"Collapsed to AP","No"
"مصروفات عمومية وإدارية - اتصالات وإنترنت",2994,0,2994,0,0,0,0,"Rounding","No"
"الموردين - SLAM INTERNET",0,2994,0,0,0,-2994,2994,"Collapsed to AP","No"
"الموردين - شركة الكيف الشرقي للتجاره",0,468.44000000000005,0,0,0,-468.44000000000005,468.44000000000005,"Collapsed to AP","No"
"الموردين - al wadi",0,3305.92,0,0,0,-3305.92,3305.92,"Collapsed to AP","No"
"الموردين - nada",0,1242,0,0,0,-1242,1242,"Collapsed to AP","No"
"الموردين - danub",0,9244.755652173912,0,0,0,-9244.755652173912,9244.755652173912,"Collapsed to AP","No"
"مصروفات عمومية وإدارية - نظافة وضيافة",6961.9,0,6961.9,0,0,0,0,"Rounding","No"
"الموردين - قصر البلاستيك",0,3033.84,0,0,0,-3033.84,3033.84,"Collapsed to AP","No"
